y true,average predicted values,error bar values
13.0,7.863525009999999,0.49366806486142606
3.0,15.340725549999998,0.82624062156515
15.0,23.28220295,1.279144172293437
32.0,13.6633026,0.731425580390888
33.0,23.290975449999998,1.2156331359828172
38.0,29.195036800000004,1.4442864953330887
5.0,13.92285215,0.5103962611536332
15.0,29.15659095,1.2875116431968776
32.0,43.663939,1.0973248341550312
10.0,23.6000249,1.1263900281074415
14.0,31.44915565,1.16975734351897
28.5,17.35501525,1.3182240280689803
19.7,22.56284975,1.273932802423304
28.5,27.54958335,1.366900228013168
37.0,32.03276745,1.4435920343747246
45.6,35.2555197,1.3472078101590672
12.77777777777778,7.708674354999999,1.0399160662766493
9.444444444444445,10.94960045,0.9457689727388627
7.4,6.014900725,1.4629401657182515
13.11666666666667,10.663668300000001,0.7917287135070882
17.06666666666667,10.333527675000001,0.7893259243468822
16.42777777777778,11.83975915,0.7975870066322098
9.0,6.62806984,1.4121993376876545
14.0,8.48863989,1.0084998906296907
-4.0,8.636769655,0.8824374218488431
7.0,12.382478175,0.684166100462055
-9.0,8.314020545,0.7216868991690739
5.0,11.056182549999999,0.9055310837639758
14.0,17.655990499999998,1.1956763859859274
36.0,26.894731200000003,1.7096188860770478
15.86666666666667,11.6212059,0.9214073957669267
11.38333333333333,9.383926525,0.5447162652394913
5.016666666666667,9.39673465,0.6114802714673135
15.338888888888892,17.0003392,1.467727095962096
8.149999999999999,9.8871004,0.7346357596754578
33.81111111111111,16.490402,1.5427951992706719
3.3888888888888884,9.9645773,0.6423301138493313
15.55555555555556,10.020092,0.6319532245179479
38.78888888888888,16.89902065,1.3951657816639296
25.23888888888889,10.230283525,1.1625729921670733
20.38333333333333,14.550927125000001,1.3766238130514112
22.05555555555556,23.7327417,0.8258321708148384
28.5,23.85216065,0.8407336768192585
32.61111111111111,33.14353285,1.5663297327554027
36.55555555555556,33.17732955,1.0541667300334516
44.66666666666667,26.78113805,1.4370878788814365
7.555555555555557,19.016491350000003,0.9908855933487657
14.05555555555556,19.1885088,1.1430423918515658
5.0,12.249198199999999,1.1892639525683013
22.3543835189226,28.90582485,0.8443783302194824
8.033406870945797,21.32610415,1.125411889590337
22.363896790265,33.525818349999994,0.9690772272680896
-8.602139785801,13.8152927,1.2676184597071083
6.691413492221599,19.0194736,1.3761486820896938
3.093761490256398,22.5776118,1.516939928958143
27.2073272353639,22.9708556,0.9384399418224518
47.45605347562282,39.097900849999995,0.9138810624175898
33.79136656658182,25.936866950000002,0.9117877592926105
46.18359401773726,34.84080675,0.9432841851748269
10.11336258778351,22.4227405,1.0077001762909399
29.4458965412717,30.52510185,0.8957455480480625
28.096940179398295,35.36281695,0.9639889276712077
-10.6058257689987,12.97543435,1.1738878917852544
1.628801386765502,18.224390550000003,1.238397207578386
10.8552334729211,24.332214,1.1135121916748016
31.964075307705468,19.997540800000003,1.1144949485545652
43.56445475953018,29.8556962,0.9103347203682607
54.29507353726219,33.53024635,1.0976018661052453
17.291827045492,19.2841048,1.050537443001318
18.3432544294193,23.72895625,0.9190200814847277
38.8364351420041,22.6701911,1.0269518006018379
56.13110117196294,28.470597199999997,1.2560445533682987
66.7613548165424,43.80797255,0.7061515604203924
