temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,EONY Preds
293.3333333333333,0.065,0.62,1.36,0.014,0.25,0.22,18.50105926221775,11.04321126296129,P,13.0,211,Plotter,CP2,P1,CP2-P1,USA Surveillance,USA,3.17e+18,110461583064.3228,,low,-24.5,469,YES,YES,PWR,13.088488140171465
275.0,0.21,0.758,1.278,0.009,0.2,0.23,17.44715803134222,8.898836926285247,P,34.44444444444444,214,Plotter,CPR,P1,CPR-P1,USA Surveillance,USA,2.8e+17,792203809.1422583,,low,-41.66666666666666,,NO,YES,BWR,45.15175920613678
275.0,0.03,0.65,1.375,0.012,0.28,0.0,17.69019608002851,9.264817823009537,P,-3.78,217,Plotter,CPR,P3,CPR-P3,USA Surveillance,USA,4.9e+17,1840000000.0,,low,,UN-SPEC,NO,NO,BWR,10.045785340941311
275.0,0.11,0.61,1.43,0.013,0.23,0.205,17.57287160220048,9.146128035678238,P,16.61,221,Plotter,CPR,PBWR2,CPR-PBWR2,USA Surveillance,USA,3.74e+17,1400000000.0,,low,,UN-SPEC,NO,NO,BWR,21.81211213623348
275.0,0.172,0.584,1.16,0.018,0.17,0.2,17.57749179983723,9.152288344383056,P,22.33,224,Plotter,CPR,PBWR4,CPR-PBWR4,USA Surveillance,USA,3.78e+17,1420000000.0,,low,,UN-SPEC,NO,NO,BWR,33.06594210194535
275.0,0.23,0.75,1.36,0.014,0.24,0.0,17.51719589794997,9.089905111439398,W,40.56,227,Plotter,CPR,W1,CPR-W1,USA Surveillance,USA,3.29e+17,1230000000.0,,low,,UN-SPEC,NO,NO,BWR,59.62688025963395
275.0,0.29,0.69,1.575,0.016,0.47,0.0,17.69284691927723,9.267171728403014,W,67.0,231,Plotter,CPR,W3,CPR-W3,USA Surveillance,USA,4.93e+17,1850000000.0,,low,,UN-SPEC,NO,NO,BWR,70.80014825162685
275.0,0.01,0.9,1.33,0.012,0.43,0.07,17.61172330800734,9.1846914308176,W,-14.67,237,Plotter,CPR,WBWR1,CPR-WBWR1,USA Surveillance,USA,4.09e+17,1530000000.0,,low,,UN-SPEC,NO,NO,BWR,9.202631256743931
294.4444444444445,0.41,0.1,1.65,0.021,1.0,0.08,18.02118929906994,10.65315097240359,W,17.77777777777778,244,Plotter,CR3,W1,CR3-W1,USA Surveillance,USA,1.05e+18,44993623760.74704,,low,,531,YES,NO,PWR,40.73496549936956
292.2222222222222,0.41,0.1,1.65,0.021,1.0,0.08,18.8750612633917,10.70047631478225,W,54.44444444444444,246,Plotter,CR3,W1,CR3-W1,USA Surveillance,USA,7.5e+18,50173721493.29839,,low,,531,YES,NO,PWR,57.04852641446657
