temperature_C,wt_percent_Cu,wt_percent_Ni,wt_percent_Mn,wt_percent_P,wt_percent_Si,wt_percent_C,log(fluence_n_cm2),log(flux_n_cm2_sec),Product Form,Measured DT41J  [C],index,datatype,Short Plant ID,Matl / PF ID,alloy,PLOTTER-15 Set Name,Nation,fluence_n_cm2,flux_n_cm2_sec,delta_sigma_y_MPa,fluence_group,Measured Unirradiated Value  [C],Un-Irradiated YS  [MPa],YS(u) Known?,Unirradiated T Known?,Reactor Type,E900 Preds
288.9,0.029,0.11,1.44,0.018,0.49,0.11,19.68718995439164,11.06978798223251,W,23.44444444444444,1625,Plotter,YW2,W1,YW2-W1,S. Korea Surveillance,S-KOREA,4.8662e+19,117432412291.7772,,low,,544.686,YES,NO,PWR,44.15903788149089
296.0,0.025,0.89,1.26,0.006,0.26,0.21,18.63638758581316,10.32533628207742,F,25.73888888888889,1633,Plotter,YW5,F1,YW5-F1,S. Korea Surveillance,S-KOREA,4.329e+18,21151261864.055,,low,,445.2633333333333,YES,NO,PWR,7.744240426088888
276.1111111111111,0.11,0.49,1.375,0.01,0.202,0.239,18.51188336097887,10.94861876481659,P,17.77777777777778,1642,Plotter,ZN1,P1,ZN1-P1,USA Surveillance,USA,3.25e+18,88842089609.68529,,low,,422.9935,YES,NO,PWR,27.896155006553627
276.6666666666667,0.11,0.49,1.375,0.01,0.202,0.239,19.19312459835446,10.7613371694959,P,55.55555555555556,1645,Plotter,ZN1,P1,ZN1-P1,USA Surveillance,USA,1.56e+19,57721441650.72665,,low,,422.9935,YES,NO,PWR,49.06539530951626
276.6666666666667,0.17,0.64,1.478,0.011,0.225,0.217,19.19312459835446,10.7613371694959,SRM,67.22222222222223,1649,Plotter,ZN1,SRM2,ZN1-SRM2,USA Surveillance,USA,1.56e+19,57721441650.72665,,low,,,NO,NO,PWR,78.52223540943194
276.1111111111111,0.25,0.54,1.48,0.019,0.67,0.1,18.98407703390283,10.93872776348933,W,105.0,1651,Plotter,ZN1,W1,ZN1-W1,USA Surveillance,USA,9.64e+18,86841589410.08257,,low,,501.5935,YES,NO,PWR,94.68306622773844
276.6666666666667,0.25,0.54,1.48,0.019,0.67,0.1,19.19312459835446,10.7613371694959,W,111.1111111111111,1653,Plotter,ZN1,W1,ZN1-W1,USA Surveillance,USA,1.56e+19,57721441650.72665,,low,,501.5935,YES,NO,PWR,107.46677983965316
290.0,0.09,0.62,1.36,0.007,0.0,0.0,19.77815125038364,11.0,P,69.8,1668,Plotter,JPP,P18,JPP-P18,Soneda 08,JAPAN,6e+19,100000000000.0,,high,,UN-SPEC,NO,NO,PWR,61.865458513120714
303.8888888888889,0.1,0.74,0.66,0.012,0.3,0.19,18.53781909507327,10.7804989985266,F,19.4031838547049,1680,Plotter,UP3,F1,UP3-F1,UNKNOWN Surveillance,UNKNOWN,3.45e+18,60325231683.86082,,low,,,NO,NO,PWR,19.809832670070435
303.8888888888889,0.1,0.084,1.57,0.017,0.46,0.07,18.53781909507327,10.7804989985266,W,22.31185954110644,1681,Plotter,UP3,W1,UP3-W1,UNKNOWN Surveillance,UNKNOWN,3.45e+18,60325231683.86082,,low,,UN-SPEC,NO,NO,PWR,13.904099974367847
283.8888888888889,0.26,0.62,1.37,0.018,0.27,0.11,19.70500795933334,10.85209291325057,W,132.1111111111111,1693,Plotter,BV1,W1,BV1-W1,USA Surveillance,USA,5.07e+19,71136568742.33914,,low,-54.72222222222222,461,YES,YES,PWR,147.10048494552905
270.0,0.14,0.84,1.4,0.019,0.25,0.19,19.51235615044977,11.81291335664286,SRM,77.2059,1697,Plotter,BRU,SRM4,BRU-SRM4,Brumovski 08,NOT_APPLICABLE,3.25354e+19,650000000000.0,,low,,UN-SPEC,NO,NO,PWR,109.55510905745808
270.0,0.14,0.84,1.4,0.019,0.25,0.19,19.43264705626391,11.81291335664286,SRM,80.0654,1698,Plotter,BRU,SRM4,BRU-SRM4,Brumovski 08,NOT_APPLICABLE,2.70799e+19,650000000000.0,,low,,UN-SPEC,NO,NO,PWR,103.02823514399768
270.0,0.14,0.84,1.4,0.019,0.25,0.19,19.41570268402185,11.81291335664286,SRM,84.9673,1699,Plotter,BRU,SRM4,BRU-SRM4,Brumovski 08,NOT_APPLICABLE,2.60437e+19,650000000000.0,,low,,UN-SPEC,NO,NO,PWR,101.7061589641586
270.0,0.14,0.84,1.4,0.019,0.25,0.19,19.57393513324311,11.81291335664286,SRM,105.392,1704,Plotter,BRU,SRM4,BRU-SRM4,Brumovski 08,NOT_APPLICABLE,3.74917e+19,650000000000.0,,low,,UN-SPEC,NO,NO,PWR,114.97065647533493
